% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, ev.evalue as accuracy
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid  and
% e.eid = ev.eid and ev.emiid = 6 and la.liid = li.liid and
% li.name = "weka.J48"

alg_name,dataset,id,accuracy
weka.J48,letter,283,0.8798
weka.J48,mushroom,1255,1
weka.J48,nursery,1363,0.970525
weka.J48,optdigits,1471,0.90694
weka.J48,page-blocks,1579,0.968756
weka.J48,pendigits,1687,0.965611
weka.J48,waveform-5000,3199,0.7508
weka.J48,letter,6763,0.8804
weka.J48,mushroom,7735,1
weka.J48,nursery,7843,0.971142
weka.J48,optdigits,7951,0.907829
weka.J48,page-blocks,8059,0.969121
weka.J48,pendigits,8167,0.965338
weka.J48,waveform-5000,9679,0.7614
weka.J48,adult,232498,0.851705
weka.J48,satimage,232714,0.862675
weka.J48,kropt,232822,0.565833
weka.J48,letter,73481,0.8798
weka.J48,mushroom,117760,1
weka.J48,optdigits,120986,0.90694
weka.J48,nursery,123902,0.970525
weka.J48,page-blocks,129367,0.968756
weka.J48,pendigits,134294,0.965611
weka.J48,waveform-5000,192802,0.7508
weka.J48,kropt,247263,0.565833
weka.J48,letter,73484,0.8798
weka.J48,mushroom,117761,1
weka.J48,optdigits,120988,0.90694
weka.J48,nursery,123903,0.970525
weka.J48,page-blocks,129368,0.968756
weka.J48,pendigits,134295,0.965611
weka.J48,waveform-5000,192803,0.7508
weka.J48,kropt,247264,0.565833
weka.J48,letter,73487,0.8798
weka.J48,mushroom,117762,1
weka.J48,optdigits,120991,0.90694
weka.J48,nursery,123904,0.970525
weka.J48,page-blocks,129369,0.968756
weka.J48,pendigits,134296,0.965611
weka.J48,waveform-5000,192804,0.7508
weka.J48,covertype,238629,0.851721
weka.J48,kropt,247265,0.565833
weka.J48,letter,73490,0.8798
weka.J48,mushroom,117763,1
weka.J48,optdigits,120993,0.90694
weka.J48,nursery,123905,0.970525
weka.J48,page-blocks,129371,0.968756
weka.J48,pendigits,134297,0.965611
weka.J48,waveform-5000,192805,0.7508
weka.J48,kropt,247266,0.565833
weka.J48,letter,73493,0.8798
weka.J48,mushroom,117764,1
weka.J48,optdigits,120995,0.90694
weka.J48,nursery,123906,0.970525
weka.J48,page-blocks,129372,0.968756
weka.J48,pendigits,134298,0.965611
weka.J48,waveform-5000,192806,0.7508
weka.J48,kropt,247267,0.565833
weka.J48,letter,73496,0.8798
weka.J48,mushroom,117765,1
weka.J48,optdigits,120997,0.90694
weka.J48,nursery,123907,0.970525
weka.J48,page-blocks,129373,0.968756
weka.J48,pendigits,134299,0.965611
weka.J48,waveform-5000,192807,0.7508
weka.J48,covertype,238632,0.851721
weka.J48,kropt,247268,0.565833
weka.J48,letter,73498,0.8798
weka.J48,mushroom,117766,1
weka.J48,optdigits,121000,0.90694
weka.J48,nursery,123908,0.970525
weka.J48,page-blocks,129374,0.968756
weka.J48,pendigits,134300,0.965611
weka.J48,waveform-5000,192808,0.7508
weka.J48,kropt,247269,0.565833
weka.J48,letter,73501,0.8798
weka.J48,mushroom,117767,1
weka.J48,optdigits,121002,0.90694
weka.J48,nursery,123909,0.970525
weka.J48,page-blocks,129376,0.968756
weka.J48,pendigits,134301,0.965611
