% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 32 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {pendigits}
@attribute name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
pendigits,weka.DecisionTable,11.12,9.79522e+07,111,1.54048e+08,0.789665
pendigits,weka.NNge,12.26,1.24831e+07,180,1.99268e+08,0.971434
pendigits,weka.DecisionStump,0.41,134944,31,1.40976e+08,0.203785
pendigits,weka.SMO,6.13,1.39501e+08,85,3.452e+08,0.979622
pendigits,weka.MultilayerPerceptron,196.62,2.96661e+07,2077,1.40276e+08,0.94687
pendigits,weka.MultiBoostAB,0.77,2.00709e+06,31,1.5352e+08,0.203785
pendigits,weka.ConjunctiveRule,1.4,1.9095e+07,31,7.4708e+07,0.204057
pendigits,weka.Stacking,0.21,3.27602e+06,29,0,0.103712
pendigits,weka.J48,2.21,3.24149e+07,51,1.25788e+08,0.965611
pendigits,weka.Decorate,302.3,2.50112e+08,3483,4.89268e+08,0.975892
pendigits,weka.PART,5.46,2.36492e+07,78,7.4136e+07,0.96825
pendigits,weka.RBFNetwork,520.9,1.10408e+08,3385,3.1208e+08,0.951965
pendigits,weka.ZeroR,0.5,42304,29,1.44816e+08,0.103712
pendigits,weka.BayesNet,1.8,4.54604e+06,39,1.48928e+08,0.879003
pendigits,weka.SimpleLogistic,213.38,1.40289e+08,3132,3.5852e+08,0.954512
pendigits,weka.Logistic,32.15,9.85646e+07,368,1.92236e+08,0.955513
pendigits,weka.StackingC,1.51,4.32394e+07,39,1.5088e+08,0.103712
pendigits,weka.AttributeSelectedClassifier,3.83,4.85521e+07,55,1.65696e+08,0.964429
pendigits,weka.MultiClassClassifier,13.1,9.92127e+07,134,1.58328e+08,0.935226
pendigits,weka.NaiveBayes,0.4,122784,28,1.31756e+08,0.857533
pendigits,weka.FilteredClassifier,1.4,2.88828e+07,40,1.33544e+08,0.890466
pendigits,weka.MultiScheme,0.37,1.96096e+06,26,0,0.103712
pendigits,weka.NaiveBayesUpdateable,0.35,124128,38,1.64368e+08,0.857533
pendigits,weka.Ridor,289.7,1.31683e+08,3018,4.23776e+08,0.958515
pendigits,weka.Vote,0.1,36112,27,1.3104e+08,0.103712
pendigits,weka.HyperPipes,0.6,46752,32,1.44748e+08,0.138919
pendigits,weka.NBTree,77.94,5.76589e+07,1594,4.49132e+08,0.953239
pendigits,weka.CVParameterSelection,0.14,74824,30,1.36928e+08,0.103712
