
@relation query

@attribute dataset_name {letter,mushroom,nursery,optdigits,page-blocks,pendigits,waveform-5000,adult,covertype,satimage,kropt}
@attribute alg_name {weka.AdaBoostM1,weka.ADTree,weka.AODE,weka.AttributeSelectedClassifier,weka.Bagging,weka.BayesNet,weka.ClassificationViaRegression,weka.ConjunctiveRule,weka.CVParameterSelection,weka.DecisionStump,weka.DecisionTable,weka.Decorate,weka.FilteredClassifier,weka.HyperPipes,weka.IB1,weka.IBk,weka.Id3,weka.J48,weka.JRip,weka.LBR,weka.LMT,weka.Logistic,weka.LogitBoost,weka.LWL,weka.MultiBoostAB,weka.MultiClassClassifier,weka.MultilayerPerceptron,weka.MultiScheme,weka.NaiveBayes,weka.NaiveBayesSimple,weka.NaiveBayesUpdateable,weka.NBTree,weka.NNge,weka.OneR,weka.OrdinalClassClassifier,weka.PART,weka.Prism,weka.RacedIncrementalLogitBoost,weka.RandomCommittee,weka.RandomForest,weka.RandomTree,weka.RBFNetwork,weka.REPTree,weka.Ridor,weka.SimpleLogistic,weka.SMO,weka.Stacking,weka.StackingC,weka.ThresholdSelector,weka.VFI,weka.Vote,weka.VotedPerceptron,weka.Winnow,weka.ZeroR}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
letter,weka.DecisionTable,46.38,8.26112e+07,547,3.71016e+08,0.71535
letter,weka.NNge,74.75,2.92399e+07,994.99,2.35596e+08,0.9143
letter,weka.DecisionStump,0.97,154568,122,2.49716e+08,0.0709
letter,weka.SMO,25.16,1.32462e+08,283.68,4.97434e+08,0.8234
letter,weka.MultilayerPerceptron,711.73,2.69141e+07,7170,2.89644e+08,0.82075
letter,weka.MultiBoostAB,1.17,588064,121,2.3716e+08,0.0709
letter,weka.ConjunctiveRule,1.94,2.35364e+07,118,2.37524e+08,0.0703
letter,weka.Stacking,0.54,108632,115,2.47032e+08,0.04065
letter,weka.J48,10.79,3.17074e+07,219,3.60252e+08,0.8798
letter,weka.Decorate,1130.12,3.68815e+08,23631,9.59488e+08,0.91475
letter,weka.PART,96.51,2.96921e+07,929,3.60796e+08,0.8876
letter,weka.ZeroR,0.8,43432,124,2.5628e+08,0.04065
letter,weka.BayesNet,1.63,3.98362e+06,155,3.63084e+08,0.74365
letter,weka.SimpleLogistic,2164.2,3.53807e+08,20339,4.2404e+08,0.7741
letter,weka.Logistic,258.14,8.47887e+07,2683,3.79992e+08,0.773
letter,weka.StackingC,3.48,9.12641e+07,144,3.73876e+08,0.04065
letter,weka.AttributeSelectedClassifier,10.74,7.56639e+07,186,3.65748e+08,0.88355
letter,weka.MultiClassClassifier,39.62,1.1661e+08,508,3.91356e+08,0.72335
letter,weka.NaiveBayes,0.94,231152,120,3.64388e+08,0.64115
letter,weka.FilteredClassifier,2.83,4.14928e+07,164,3.76852e+08,0.78665
letter,weka.MultiScheme,0.4,194456,120,2.39924e+08,0.04065
letter,weka.NaiveBayesUpdateable,0.62,144176,115,3.60308e+08,0.64115
letter,weka.Vote,0.14,72928,119,2.9648e+08,0.04065
letter,weka.HyperPipes,0.5,61728,134,3.24116e+08,0.2226
letter,weka.NBTree,332.32,1.59101e+08,77833,9.666e+08,0.8698
letter,weka.CVParameterSelection,0.19,90456,105,2.93628e+08,0.04065
letter,weka.ClassificationViaRegression,131,3.11318e+08,3156,5.19924e+08,0.9108
letter,weka.LogitBoost,122.43,1.30288e+08,1234.68,3.79272e+08,0.73515
letter,weka.Bagging,16.72,1.10438e+08,360,4.24396e+08,0.89995
letter,weka.IBk,0.18,625240,1622,2.95032e+08,0.9606
letter,weka.NaiveBayesSimple,0.61,143696,109,3.58892e+08,0.64225
letter,weka.IB1,0.11,620400,1017,2.98304e+08,0.96
letter,weka.OneR,0.73,133816,112,2.55044e+08,0.17235
letter,weka.VFI,0.47,154936,104,2.70444e+08,0.61145
letter,weka.RacedIncrementalLogitBoost,42.7,8.71739e+07,532,3.7172e+08,0.70575
letter,weka.LWL,0.11,616576,15307,3.06332e+08,0.4183
letter,weka.RandomForest,11.81,1.77637e+08,218,5.77192e+08,0.94605
letter,weka.RandomTree,2.16,9.48561e+07,290,3.8744e+08,0.74785
letter,weka.REPTree,2.48,3.18337e+07,150,2.76884e+08,0.8407
letter,weka.JRip,449.57,4.78765e+08,4707,9.74424e+08,0.8638
letter,weka.AdaBoostM1,1.3,585368,117,2.62432e+08,0.0709
letter,weka.RandomCommittee,13.41,2.80875e+08,16834,9.57136e+08,0.9193
letter,weka.OrdinalClassClassifier,149.69,3.05967e+08,2359,4.45312e+08,0.768
letter,weka.DecisionTable,36.91,8.11409e+07,424,3.17344e+08,0.7194
letter,weka.NNge,69.34,2.91983e+07,999.29,3.02944e+08,0.9143
letter,weka.DecisionStump,1.28,221416,121,2.98236e+08,0.0709
letter,weka.SMO,23.87,1.58657e+08,392,4.83656e+08,0.82375
