
@relation query

@attribute dataset_name {mushroom,nursery,adult,covertype,kropt}
@attribute alg_name {weka.AdaBoostM1,weka.ADTree,weka.AODE,weka.AttributeSelectedClassifier,weka.Bagging,weka.BayesNet,weka.ClassificationViaRegression,weka.ConjunctiveRule,weka.CVParameterSelection,weka.DecisionStump,weka.DecisionTable,weka.Decorate,weka.FilteredClassifier,weka.HyperPipes,weka.IB1,weka.IBk,weka.Id3,weka.J48,weka.JRip,weka.LBR,weka.LMT,weka.Logistic,weka.LogitBoost,weka.LWL,weka.MultiBoostAB,weka.MultiClassClassifier,weka.MultilayerPerceptron,weka.MultiScheme,weka.NaiveBayes,weka.NaiveBayesSimple,weka.NaiveBayesUpdateable,weka.NBTree,weka.NNge,weka.OneR,weka.OrdinalClassClassifier,weka.PART,weka.Prism,weka.RacedIncrementalLogitBoost,weka.RandomCommittee,weka.RandomForest,weka.RandomTree,weka.RBFNetwork,weka.REPTree,weka.Ridor,weka.SimpleLogistic,weka.SMO,weka.Stacking,weka.StackingC,weka.ThresholdSelector,weka.VFI,weka.Vote,weka.VotedPerceptron,weka.Winnow,weka.ZeroR}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
mushroom,weka.ThresholdSelector,12.84,4.23169e+07,96,1.70632e+08,0.98806
mushroom,weka.Winnow,0.38,1.08344e+07,20,0,0.999877
mushroom,weka.LBR,0.21,164160,7525,6.4312e+07,0.999508
mushroom,weka.DecisionTable,2.94,8.07546e+07,46,1.28276e+08,1
mushroom,weka.NNge,1.21,2.63715e+06,28,0,1
mushroom,weka.DecisionStump,0.29,88664,14,0,0.886755
mushroom,weka.SMO,4.83,3.47142e+07,62,1.60296e+08,1
mushroom,weka.MultilayerPerceptron,1330.3,1.01808e+08,13246,2.64416e+08,1
mushroom,weka.MultiBoostAB,0.87,1.04098e+07,20,1.45236e+08,0.94547
mushroom,weka.ConjunctiveRule,0.53,1.00211e+07,18,1.63404e+08,0.886755
mushroom,weka.Stacking,0.28,91976,15,1.44672e+08,0.517971
mushroom,weka.J48,0.27,159016,14,4.0392e+07,1
mushroom,weka.ADTree,0.71,349784,25,4.1368e+07,0.999015
mushroom,weka.Decorate,8.36,1.062e+08,352,3.8152e+08,1
mushroom,weka.PART,0.44,251184,17,0,1
mushroom,weka.RBFNetwork,3.52,1.58384e+07,35,0,0.985106
mushroom,weka.ZeroR,0.4,33912,14,0,0.517971
mushroom,weka.BayesNet,0.44,2.0277e+06,18,0,0.962211
mushroom,weka.SimpleLogistic,204.23,1.62125e+08,1383,4.28196e+08,0.999631
mushroom,weka.Logistic,5.4,4.50522e+07,58,1.67176e+08,1
mushroom,weka.StackingC,0.92,1.05006e+07,20,0,0.517971
mushroom,weka.AttributeSelectedClassifier,1.4,2.28464e+06,20,0,0.990153
mushroom,weka.MultiClassClassifier,6.74,4.48228e+07,77,1.89784e+08,1
mushroom,weka.NaiveBayes,0.6,54736,14,1.37548e+08,0.958272
mushroom,weka.FilteredClassifier,0.38,198864,16,1.34016e+08,1
mushroom,weka.VotedPerceptron,31.35,1.09969e+07,408,2.03544e+08,0.999385
mushroom,weka.MultiScheme,0.24,144824,17,1.30024e+08,0.517971
mushroom,weka.NaiveBayesUpdateable,0.7,54736,15,8.7404e+07,0.958272
mushroom,weka.Ridor,0.95,3.60626e+07,18,1.36412e+08,1
mushroom,weka.Vote,0.7,46592,14,0,0.517971
mushroom,weka.HyperPipes,0.5,31352,17,1.32584e+08,0.997661
