% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 183 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {adult}
@attribute name {weka.ThresholdSelector,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.ADTree,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.LogitBoost,weka.Bagging,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
adult,weka.ThresholdSelector,98.27,3.03592e+08,948.21,4.89183e+08,0.84544
adult,weka.DecisionStump,0.28,150848,4.41,1.18103e+08,0.760718
adult,weka.SMO,3961.49,1.87452e+08,37286.1,5.41731e+08,0.854367
adult,weka.MultilayerPerceptron,4223.78,2.9253e+08,42322.1,8.31125e+08,0.843495
adult,weka.MultiBoostAB,4.06,3.32526e+07,46.09,1.52449e+08,0.820216
adult,weka.ConjunctiveRule,9.14,3.33626e+07,75.79,1.43346e+08,0.760718
adult,weka.Stacking,0.21,7.71456e+06,3.29,1.38565e+08,0.760718
adult,weka.J48,2.99,6.71247e+07,37.29,2.19035e+08,0.851705
adult,weka.ADTree,12.73,3.3259e+07,135.69,2.15826e+08,0.843209
adult,weka.PART,142.47,8.94909e+07,1562.18,3.42328e+08,0.842983
adult,weka.RBFNetwork,2.9,1.08572e+08,29.22,3.48215e+08,0.843045
adult,weka.ZeroR,0.02,39640,1.68,1.1791e+08,0.760718
adult,weka.SimpleLogistic,1100.99,5.31423e+08,11593.9,9.65223e+08,0.855759
adult,weka.Logistic,55.38,1.97919e+08,520.15,3.45936e+08,0.856988
adult,weka.StackingC,0.93,4.39807e+07,16.48,1.98337e+08,0.760718
adult,weka.AttributeSelectedClassifier,2.26,4.52049e+07,27.3,2.95155e+08,0.843721
adult,weka.MultiClassClassifier,33.57,1.98014e+08,325.39,3.44854e+08,0.856988
adult,weka.NaiveBayes,0.18,119584,3.79,1.21268e+08,0.823779
adult,weka.FilteredClassifier,1.15,5.57467e+07,11.85,2.82412e+08,0.84974
adult,weka.MultiScheme,0.17,177072,2.52,1.23562e+08,0.760718
adult,weka.NaiveBayesUpdateable,0.17,119328,3.66,1.2128e+08,0.823779
adult,weka.Ridor,28.2,1.25238e+08,273.39,3.45148e+08,0.815794
adult,weka.Vote,0.07,51240,2.01,1.18137e+08,0.760718
adult,weka.HyperPipes,0.02,42608,2.1,1.15782e+08,0.239773
adult,weka.NBTree,91.54,1.83824e+08,1007.46,2.83308e+08,0.850907
adult,weka.CVParameterSelection,0.05,78064,2.08,1.19156e+08,0.760718
adult,weka.LogitBoost,5.15,1.14701e+08,50.22,2.70642e+08,0.84282
adult,weka.Bagging,26.37,2.22067e+08,251.35,4.36232e+08,0.846034
adult,weka.IBk,0.02,1.42138e+06,3841.64,1.64912e+08,0.798718
adult,weka.NaiveBayesSimple,0.15,80056,4.45,1.20038e+08,0.823799
adult,weka.IB1,0.02,1.41596e+06,3884.27,1.66099e+08,0.79878
adult,weka.OneR,0.45,129656,6.71,1.16281e+08,0.796569
adult,weka.VFI,0.11,73968,3.79,1.18227e+08,0.776831
adult,weka.RacedIncrementalLogitBoost,1.41,8.28525e+07,13.96,1.63905e+08,0.844888
adult,weka.RandomForest,26.72,2.44831e+08,396.57,4.91445e+08,0.824372
adult,weka.RandomTree,1.59,1.43557e+08,22.31,3.33798e+08,0.799148
adult,weka.REPTree,2.15,9.34099e+07,22.61,2.52855e+08,0.843639
adult,weka.JRip,67.28,3.66538e+08,470.17,8.84909e+08,0.828467
adult,weka.AdaBoostM1,5.77,1.71657e+07,62.91,1.10734e+08,0.828856
adult,weka.OrdinalClassClassifier,6.09,6.70942e+07,73.29,2.19302e+08,0.851705
adult,weka.ThresholdSelector,74.99,3.07557e+08,744.32,4.70027e+08,0.841919
adult,weka.ThresholdSelector,72.6,2.96619e+08,730.52,3.35905e+08,0.838336
adult,weka.ThresholdSelector,85.14,2.92799e+08,797.29,3.36209e+08,0.842267
adult,weka.ThresholdSelector,63.46,3.04071e+08,550.95,5.08137e+08,0.840363
adult,weka.ThresholdSelector,46.22,2.92921e+08,446.61,3.23806e+08,0.839401
adult,weka.ThresholdSelector,52.56,2.98387e+08,535.01,3.2815e+08,0.84198
adult,weka.ThresholdSelector,73.17,2.95728e+08,618.41,4.74115e+08,0.839216
adult,weka.ThresholdSelector,90.02,3.0547e+08,743.21,3.34441e+08,0.840076
adult,weka.SMO,5975.73,1.91728e+08,52072.9,7.95424e+08,0.854449
adult,weka.SMO,3571.52,1.87284e+08,32396.7,5.4193e+08,0.85451
adult,weka.SMO,5762.11,1.94423e+08,47609.4,8.51939e+08,0.85447
adult,weka.SMO,16.06,1.90888e+08,171.28,8.51027e+08,0.852258
adult,weka.SMO,4071.73,1.87768e+08,37863,5.41599e+08,0.854367
adult,weka.SMO,11563.3,1.87751e+08,103458,5.41813e+08,0.854613
adult,weka.SMO,49142.1,1.88944e+08,432671,5.41957e+08,0.854654
adult,weka.SMO,12.61,1.88159e+08,138.38,5.39282e+08,0.852176
adult,weka.SMO,24.92,1.92478e+08,213.7,8.72596e+08,0.852176
adult,weka.SMO,17.36,1.87433e+08,158.66,5.39383e+08,0.852217
adult,weka.SMO,21.32,1.91239e+08,202.45,8.51911e+08,0.852197
adult,weka.SMO,21.61,1.94234e+08,194.91,8.38809e+08,0.852176
adult,weka.SMO,21.36,1.94917e+08,204.92,7.9649e+08,0.852176
adult,weka.SMO,27.9,1.87516e+08,243.81,5.39022e+08,0.852258
adult,weka.SMO,12.59,1.87492e+08,119.06,5.40587e+08,0.852217
adult,weka.SMO,21.38,1.91354e+08,187.82,8.52346e+08,0.852238
adult,weka.SMO,21.64,1.92599e+08,202.63,8.52413e+08,0.852217
adult,weka.SMO,22.3,1.91899e+08,206.39,8.49798e+08,0.852197
adult,weka.SMO,16.91,1.92282e+08,178.14,8.51524e+08,0.852176
adult,weka.SMO,20.73,1.91873e+08,205.81,8.51741e+08,0.852217
adult,weka.SMO,17.08,1.87593e+08,167.44,5.39496e+08,0.852238
adult,weka.SMO,20.07,1.8767e+08,207.05,8.49916e+08,0.852238
adult,weka.SMO,17.37,1.90743e+08,181.61,8.51257e+08,0.852279
adult,weka.SMO,21.96,1.93272e+08,187.46,8.52049e+08,0.852176
adult,weka.SMO,23.59,1.94154e+08,220.71,8.50377e+08,0.852217
adult,weka.SMO,23.17,1.92483e+08,194.81,8.49767e+08,0.852197
adult,weka.SMO,115.18,1.94153e+08,1031.26,8.5352e+08,0.85406
adult,weka.SMO,79.91,1.87317e+08,698.15,5.40278e+08,0.854121
adult,weka.SMO,88.49,1.87507e+08,867.51,5.40702e+08,0.853999
adult,weka.SMO,240.94,1.29566e+08,2169.52,3.44046e+08,0.854121
adult,weka.SMO,78.4,1.87768e+08,673.87,5.3969e+08,0.854101
adult,weka.SMO,142.85,1.87417e+08,1368.7,5.41057e+08,0.854142
adult,weka.SMO,226.32,1.29546e+08,2023.18,4.03099e+08,0.854101
adult,weka.SMO,131.45,1.87428e+08,1185.59,5.40595e+08,0.85406
adult,weka.SMO,89.91,1.86902e+08,855.98,5.42499e+08,0.85408
adult,weka.SMO,77.09,1.90373e+08,700.06,5.39471e+08,0.85404
adult,weka.SMO,74.25,1.87682e+08,720.25,5.39327e+08,0.854019
adult,weka.SMO,73.1,1.87306e+08,673.38,5.39378e+08,0.854121
adult,weka.SMO,103,1.87446e+08,953.67,5.39696e+08,0.85406
adult,weka.SMO,223.74,1.29552e+08,1904.22,4.0309e+08,0.854121
adult,weka.SMO,131.24,1.8751e+08,1247.45,4.89117e+08,0.85408
