% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 28 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {optdigits}
@attribute name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
optdigits,weka.DecisionTable,14.23,9.7822e+07,149,1.17996e+08,0.638256
optdigits,weka.NNge,25.85,2.64144e+07,359,3.08752e+08,0.932028
optdigits,weka.DecisionStump,0.53,142896,10,5.7364e+07,0.197509
optdigits,weka.SMO,4.41,1.36713e+08,46,1.87692e+08,0.983274
optdigits,weka.MultilayerPerceptron,465.18,8.67412e+07,4643,1.619e+08,0.982562
optdigits,weka.MultiBoostAB,0.79,3.24862e+06,15,1.41284e+08,0.197509
optdigits,weka.ConjunctiveRule,1.39,4.2511e+07,15,0,0.198754
optdigits,weka.Stacking,0.21,1.44054e+06,10,0,0.101423
optdigits,weka.J48,2.96,2.0691e+07,33,5.5396e+07,0.90694
optdigits,weka.Decorate,446.66,2.19687e+08,4893,4.2544e+08,0.945196
optdigits,weka.PART,8.9,3.91154e+07,89,1.19972e+08,0.925445
optdigits,weka.RBFNetwork,83.88,1.02766e+08,842,2.74488e+08,0.935409
optdigits,weka.ZeroR,0.4,38224,7,0,0.101423
optdigits,weka.BayesNet,1.45,7.66354e+06,18,1.42636e+08,0.92242
optdigits,weka.SimpleLogistic,165.25,1.21516e+08,1735,3.54132e+08,0.973488
optdigits,weka.Logistic,253.69,1.24046e+08,851,2.7074e+08,0.947153
optdigits,weka.StackingC,1.43,4.30457e+07,18,0,0.101601
optdigits,weka.AttributeSelectedClassifier,4.31,2.64303e+07,39,7.1692e+07,0.904093
optdigits,weka.MultiClassClassifier,21.1,9.94836e+07,181,2.27724e+08,0.948577
optdigits,weka.NaiveBayes,0.62,183536,16,0,0.913345
optdigits,weka.FilteredClassifier,1.71,2.18193e+07,19,0,0.78968
optdigits,weka.MultiScheme,0.21,2.82601e+06,7,1.1714e+08,0.101423
optdigits,weka.NaiveBayesUpdateable,0.73,182608,20,1.22232e+08,0.913345
optdigits,weka.Ridor,393.12,1.39264e+08,4368,3.97608e+08,0.902313
optdigits,weka.Vote,0.7,47352,9,0,0.101423
optdigits,weka.HyperPipes,0.6,68424,8,0,0.326512
optdigits,weka.NBTree,407.61,1.35923e+08,12482,9.5488e+08,0.891459
optdigits,weka.CVParameterSelection,0.7,36864,10,0,0.101423
optdigits,weka.ClassificationViaRegression,26.51,1.53233e+08,328,4.26492e+08,0.95427
optdigits,weka.LogitBoost,34.58,9.58507e+07,317,1.53632e+08,0.915836
optdigits,weka.Bagging,7.42,9.93358e+07,69,1.51772e+08,0.937189
optdigits,weka.LMT,733.62,3.88121e+08,7738,4.3158e+08,0.974199
optdigits,weka.IBk,0.9,209192,309,1.21416e+08,0.986121
optdigits,weka.IB1,0.8,202592,291,1.23512e+08,0.986121
optdigits,weka.OneR,0.5,2.44455e+06,10,0,0.269929
optdigits,weka.VFI,0.4,131248,10,0,0.766014
optdigits,weka.RacedIncrementalLogitBoost,5.19,7.38095e+07,58,1.2358e+08,0.863345
optdigits,weka.LWL,0.9,204008,3196,1.25532e+08,0.748932
optdigits,weka.RandomForest,7.15,1.2895e+08,68,3.20196e+08,0.966904
optdigits,weka.RandomTree,2.41,9.96961e+07,32,0,0.74573
optdigits,weka.REPTree,1.58,5.2272e+07,15,9.274e+07,0.885409
optdigits,weka.JRip,39.96,1.10267e+08,352,3.6044e+08,0.907829
optdigits,weka.AdaBoostM1,0.93,3.29806e+06,9,0,0.197509
optdigits,weka.RandomCommittee,11.1,1.8816e+08,849,4.93508e+08,0.940391
optdigits,weka.OrdinalClassClassifier,18.52,5.85644e+07,176,1.3284e+08,0.840214
optdigits,weka.DecisionTable,13.54,9.78691e+07,142,1.31376e+08,0.649466
optdigits,weka.NNge,20.72,2.54088e+07,269,1.87524e+08,0.933986
optdigits,weka.DecisionStump,0.72,134808,12,0,0.197153
optdigits,weka.SMO,4.5,9.22577e+07,47,3.554e+08,0.983452
optdigits,weka.MultilayerPerceptron,474.68,8.67405e+07,4690,1.5924e+08,0.983274
optdigits,weka.MultiBoostAB,0.86,2.78606e+06,13,0,0.197153
optdigits,weka.ConjunctiveRule,1.28,4.25027e+07,17,0,0.199466
optdigits,weka.Stacking,0.26,1.43788e+06,10,1.29308e+08,0.101423
optdigits,weka.J48,3.87,2.06954e+07,42,7.2516e+07,0.907829
optdigits,weka.Decorate,454.8,2.19195e+08,5055,4.23888e+08,0.94573
optdigits,weka.PART,8.26,2.08786e+07,81,1.18688e+08,0.930783
optdigits,weka.RBFNetwork,59.6,1.02658e+08,570,1.9878e+08,0.931673
optdigits,weka.ZeroR,0.3,38224,8,1.31272e+08,0.101423
optdigits,weka.BayesNet,1.26,7.62915e+06,19,1.61512e+08,0.923132
optdigits,weka.SimpleLogistic,220.87,1.25486e+08,2568,3.62092e+08,0.970996
optdigits,weka.Logistic,142.96,1.14497e+08,609,1.95424e+08,0.936477
optdigits,weka.StackingC,1.17,4.30585e+07,14,0,0.101601
optdigits,weka.AttributeSelectedClassifier,5.15,2.70722e+07,46,1.55728e+08,0.91121
optdigits,weka.MultiClassClassifier,25.99,1.02607e+08,235,1.8134e+08,0.948577
optdigits,weka.NaiveBayes,0.91,235120,20,0,0.914769
optdigits,weka.FilteredClassifier,1.93,3.85871e+07,20,0,0.780961
optdigits,weka.MultiScheme,0.22,2.83605e+06,9,0,0.101423
optdigits,weka.NaiveBayesUpdateable,0.44,149680,15,5.8172e+07,0.914769
optdigits,weka.Ridor,460.53,1.49469e+08,4223,5.16168e+08,0.904448
optdigits,weka.Vote,0.6,47672,7,0,0.101423
optdigits,weka.HyperPipes,0.5,64272,12,0,0.32758
optdigits,weka.NBTree,489.63,1.37495e+08,12393,9.53312e+08,0.896975
optdigits,weka.CVParameterSelection,0.9,58400,9,0,0.101423
optdigits,weka.ClassificationViaRegression,26.42,1.55242e+08,349,4.21692e+08,0.954804
