% Query:
% SELECT li.name, avg(ev.evalue), max(ev.evalue), min(ev.evalue)
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev.emiid = 2
% GROUP BY li.name
% ORDER BY dp.value

name,avg(ev.evalue),max(ev.evalue),min(ev.evalue)
weka.Ridor,104315583.833333,1.51824e+08,3.60626e+07
weka.AODE,302406,485640,93504
weka.ThresholdSelector,143874761.333333,3.07557e+08,4.0617e+07
weka.Winnow,10926395.6521739,1.10539e+07,1.01049e+07
weka.LBR,216755,347040,146064
weka.ADTree,11318386.6666667,3.3259e+07,346376
weka.RBFNetwork,85038858.5333333,3.8668e+08,1.38249e+07
weka.VotedPerceptron,14259375,8.94024e+07,1.02089e+07
weka.Id3,40786656,8.73453e+07,9.60348e+06
weka.Prism,48701132,7.74529e+07,3.42967e+07
weka.Logistic,103140028.571429,3.25095e+08,6.78448e+06
weka.Stacking,4319154.08163265,4.91108e+07,63208
weka.DecisionTable,71310843.25,9.79522e+07,1.22747e+07
weka.LMT,344439498.909091,8.34077e+08,1.99823e+08
weka.RandomForest,116515812.74672,8.49481e+08,5.09026e+06
weka.IBk,583763.571428571,4.60725e+06,183528
weka.Vote,129468.827586207,1.46654e+06,33056
weka.StackingC,42463810.2303665,1.05477e+08,4.83972e+06
weka.J48,13267979.5066876,2.79583e+08,111512
weka.NNge,12117766.3157895,2.92399e+07,1.53621e+06
weka.RandomTree,59066774.9895833,8.50834e+08,6.97728e+06
weka.NaiveBayesSimple,292845.80952381,3.59169e+06,77448
weka.HyperPipes,46237.2413793103,68424,31352
weka.AttributeSelectedClassifier,32184265.9285714,2.03051e+08,1.9597e+06
weka.Decorate,198052735.913978,8.8538e+08,9.64117e+07
weka.DecisionStump,291986.551724138,3.05554e+06,83384
weka.REPTree,41052334.5757576,4.62464e+08,319696
weka.IB1,558099.785714286,4.04313e+06,175768
weka.NBTree,106114128.214286,2.2828e+08,9.76419e+06
weka.MultiClassClassifier,112428665.374359,5.6295e+08,3.41139e+07
weka.PART,30987955.4329897,2.31717e+08,228144
weka.SMO,88038844.760162,3.82706e+08,3.06154e+07
weka.JRip,183994454.240964,5.07869e+08,3.54816e+07
weka.OneR,769639.85026738,2.05326e+07,48144
weka.CVParameterSelection,176372.142857143,4.92832e+06,33472
weka.NaiveBayes,414391.862068966,4.30616e+06,54608
weka.ZeroR,37711.1724137931,49232,26768
weka.MultilayerPerceptron,62325168.5249344,6.05413e+08,925128
weka.AdaBoostM1,82505465.5324131,8.67994e+08,324968
weka.VFI,139904.428571429,1.36242e+06,49664
weka.ClassificationViaRegression,186030293.538462,5.99508e+08,8.80979e+07
weka.FilteredClassifier,39426552.5,3.41784e+08,198864
weka.BayesNet,2963178.26666667,7.66354e+06,464648
weka.MultiBoostAB,91356723.2844814,8.94468e+08,322264
weka.RandomCommittee,153128630.966292,3.53994e+08,3.54789e+07
weka.RacedIncrementalLogitBoost,56431672.7653061,1.95741e+08,6.25907e+06
weka.LogitBoost,162980157.539975,8.84668e+08,9.46988e+06
weka.MultiScheme,2706017.04433498,4.90405e+07,131264
weka.SimpleLogistic,252983346,8.47518e+08,9.75936e+07
weka.ConjunctiveRule,23070385.8252427,8.58364e+07,118208
weka.OrdinalClassClassifier,76685396.7142857,3.42541e+08,393144
weka.LWL,398784.56,1.41475e+06,180336
weka.Bagging,114367305.463679,9.35998e+08,267792
weka.NaiveBayesUpdateable,352713.586206897,3.73333e+06,54736
